<user, ui_server_11, 0, Request, 0000001369>
<purchase_book_server_5, book_availability_server_4, 18, Request, 0000001386>
<user, ui_server_1, 18, Request, 0000001959>
<purchase_book_server_6, discount_server_4, 18, Request, 0000001853>
<ui_server_9, purchase_book_server_3, 19, Request, 0000001641>
<purchase_book_server_3, discount_server_4, 19, Request, 0000001163>
<user, ui_server_9, 20, Request, 0000001938>
<ui_server_1, purchase_book_server_10, 20, Request, 0000001959>
<user, ui_server_8, 20, Request, 0000001060>
<ui_server_16, purchase_book_server_9, 21, Request, 0000001680>
<user, ui_server_6, 21, Request, 0000001837>
<user, ui_server_17, 22, Request, 0000001133>
<book_availability_server_5, bundle_offer_server_2, 22, Request, 0000001369>
<ui_server_10, purchase_book_server_6, 22, Request, 0000001644>
<ui_server_6, purchase_book_server_1, 23, Request, 0000001837>
<user, ui_server_12, 23, Request, 0000001626>
<purchase_book_server_4, discount_server_1, 24, Request, 0000001899>
<purchase_book_server_3, book_availability_server_8, 24, Request, 0000001657>
<purchase_book_server_4, book_availability_server_4, 24, Request, 0000001713>
<discount_server_3, book_availability_server_3, 24, Request, 0000001179>
<book_availability_server_1, bundle_offer_server_1, 24, Request, 0000001086>
<purchase_book_server_4, book_availability_server_7, 24, Request, 0000001186>
<user, ui_server_15, 25, Request, 0000001193>
<user, ui_server_5, 25, Request, 0000001636>
<ui_server_8, purchase_book_server_2, 25, Request, 0000001060>
<ui_server_9, purchase_book_server_9, 26, Request, 0000001938>
<purchase_book_server_3, book_availability_server_6, 26, Request, 0000001641>
<discount_server_4, book_availability_server_2, 26, Request, 0000001163>
<ui_server_20, purchase_book_server_1, 26, Request, 0000001327>
<user, ui_server_19, 26, Request, 0000001872>
<discount_server_4, gift_wrap_server_1, 27, Request, 0000001853>
<ui_server_17, purchase_book_server_3, 27, Request, 0000001133>
<user, ui_server_19, 27, Request, 0000001951>
<purchase_book_server_6, book_availability_server_8, 27, Request, 0000001644>
<book_availability_server_8, user_credentials_server_3, 27, Request, 0000001458>
<purchase_book_server_10, discount_server_3, 28, Request, 0000001959>
<user, ui_server_19, 28, Request, 0000001665>
<ui_server_5, purchase_book_server_4, 28, Request, 0000001636>
<ui_server_12, purchase_book_server_9, 29, Request, 0000001626>
<bundle_offer_server_2, user_credentials_server_4, 29, Request, 0000001369>
<book_availability_server_8, bundle_offer_server_1, 29, Request, 0000001962>
<user, ui_server_10, 29, Request, 0000001051>
<user, ui_server_8, 30, Request, 0000001769>
<bundle_offer_server_1, user_credentials_server_5, 30, Request, 0000001086>
<gift_wrap_server_1, book_availability_server_6, 30, Request, 0000001853>
<discount_server_1, book_availability_server_5, 30, Request, 0000001899>
<user_credentials_server_3, user_history_server_4, 30, Request, 0000001458>
<user, ui_server_16, 31, Request, 0000001534>
<user, ui_server_16, 31, Request, 0000001571>
<purchase_book_server_1, book_availability_server_1, 31, Request, 0000001837>
<ui_server_10, purchase_book_server_4, 32, Request, 0000001051>
<user, ui_server_6, 32, Request, 0000001574>
<purchase_book_server_9, discount_server_2, 32, Request, 0000001680>
<user, ui_server_13, 32, Request, 0000001318>
<user_credentials_server_4, user_history_server_1, 33, Request, 0000001369>
<purchase_book_server_2, discount_server_3, 33, Request, 0000001060>
<ui_server_19, purchase_book_server_8, 33, Request, 0000001951>
<discount_server_3, book_availability_server_4, 33, Request, 0000001959>
<user, ui_server_17, 33, Request, 0000001226>
<user, ui_server_20, 33, Request, 0000001291>
<user, ui_server_2, 33, Request, 0000001406>
<user, ui_server_8, 33, Request, 0000001062>
<user_credentials_server_5, card_check_server_1, 33, Request, 0000001086>
<ui_server_15, purchase_book_server_3, 33, Request, 0000001193>
<ui_server_19, purchase_book_server_1, 33, Request, 0000001872>
<ui_server_19, purchase_book_server_9, 34, Request, 0000001665>
<purchase_book_server_3, gift_wrap_server_1, 34, Request, 0000001133>
<purchase_book_server_1, book_availability_server_7, 34, Request, 0000001327>
<user, ui_server_7, 34, Request, 0000001832>
<user, ui_server_14, 35, Request, 0000001155>
<book_availability_server_6, bundle_offer_server_2, 35, Request, 0000001188>
<book_availability_server_4, user_credentials_server_4, 35, Request, 0000001386>
<purchase_book_server_9, gift_wrap_server_1, 35, Request, 0000001938>
<user, ui_server_6, 35, Request, 0000001423>
<ui_server_2, purchase_book_server_3, 35, Request, 0000001406>
<book_availability_server_8, user_credentials_server_4, 35, Request, 0000001657>
<ui_server_7, purchase_book_server_3, 36, Request, 0000001832>
<book_availability_server_7, bundle_offer_server_2, 36, Request, 0000001186>
<gift_wrap_server_1, discount_server_2, 36, Request, 0000001133>
<ui_server_6, purchase_book_server_6, 36, Request, 0000001574>
<ui_server_8, purchase_book_server_8, 36, Request, 0000001769>
<purchase_book_server_1, discount_server_2, 37, Request, 0000001872>
<bundle_offer_server_1, user_credentials_server_6, 37, Request, 0000001962>
<card_check_server_1, visa_server_2, 37, Request, 0000001086>
<ui_server_8, purchase_book_server_5, 37, Request, 0000001062>
<user_history_server_1, card_check_server_7, 37, Request, 0000001369>
<discount_server_2, book_availability_server_1, 38, Request, 0000001680>
<ui_server_16, purchase_book_server_10, 38, Request, 0000001534>
<user_history_server_4, card_check_server_4, 38, Request, 0000001458>
<ui_server_6, purchase_book_server_9, 38, Request, 0000001423>
<gift_wrap_server_1, discount_server_1, 38, Request, 0000001938>
<purchase_book_server_4, book_availability_server_8, 38, Request, 0000001636>
<purchase_book_server_4, book_availability_server_7, 39, Request, 0000001051>
<user, ui_server_19, 39, Request, 0000001147>
<user_credentials_server_4, card_check_server_7, 39, Request, 0000001657>
<purchase_book_server_9, discount_server_2, 39, Request, 0000001626>
<discount_server_3, book_availability_server_3, 40, Request, 0000001060>
<purchase_book_server_3, gift_wrap_server_1, 40, Request, 0000001193>
<ui_server_13, purchase_book_server_1, 40, Request, 0000001318>
<bundle_offer_server_2, user_credentials_server_2, 40, Request, 0000001186>
<ui_server_16, purchase_book_server_10, 40, Request, 0000001571>
<user_credentials_server_4, user_history_server_2, 40, Request, 0000001386>
<user_credentials_server_6, card_check_server_8, 40, Request, 0000001962>
<book_availability_server_4, bundle_offer_server_2, 40, Request, 0000001713>
<discount_server_2, gift_wrap_server_1, 41, Request, 0000001872>
<purchase_book_server_3, discount_server_1, 41, Request, 0000001406>
<book_availability_server_3, bundle_offer_server_2, 41, Request, 0000001179>
<book_availability_server_2, user_credentials_server_3, 42, Request, 0000001163>
<user, ui_server_2, 42, Request, 0000001080>
<gift_wrap_server_1, book_availability_server_8, 42, Request, 0000001193>
<purchase_book_server_9, book_availability_server_1, 42, Request, 0000001665>
<book_availability_server_6, external_inventory_server_2, 42, Request, 0000001853>
<bundle_offer_server_2, user_credentials_server_7, 42, Request, 0000001188>
<user_credentials_server_2, card_check_server_9, 42, Request, 0000001186>
<discount_server_2, book_availability_server_6, 42, Request, 0000001133>
<user_credentials_server_3, card_check_server_9, 43, Request, 0000001163>
<purchase_book_server_3, book_availability_server_2, 43, Request, 0000001832>
<ui_server_14, purchase_book_server_7, 43, Request, 0000001155>
<user, ui_server_11, 43, Request, 0000001049>
<gift_wrap_server_1, book_availability_server_8, 43, Request, 0000001872>
<purchase_book_server_8, gift_wrap_server_1, 43, Request, 0000001951>
<book_availability_server_8, user_credentials_server_1, 43, Request, 0000001644>
<ui_server_2, purchase_book_server_10, 44, Request, 0000001080>
<ui_server_17, purchase_book_server_3, 44, Request, 0000001226>
<user, ui_server_17, 44, Request, 0000001311>
<card_check_server_7, american_express_server_1, 44, Request, 0000001369>
<user, ui_server_11, 44, Request, 0000001309>
<user, ui_server_12, 45, Request, 0000001251>
<purchase_book_server_6, discount_server_2, 45, Request, 0000001574>
<book_availability_server_6, bundle_offer_server_2, 45, Request, 0000001641>
<book_availability_server_5, bundle_offer_server_1, 45, Request, 0000001899>
<purchase_book_server_1, book_availability_server_4, 45, Request, 0000001318>
<ui_server_20, purchase_book_server_2, 45, Request, 0000001291>
<discount_server_1, book_availability_server_8, 46, Request, 0000001938>
<purchase_book_server_8, discount_server_2, 46, Request, 0000001769>
<gift_wrap_server_1, book_availability_server_8, 46, Request, 0000001951>
<user_history_server_2, card_check_server_8, 46, Request, 0000001386>
<purchase_book_server_10, discount_server_2, 46, Request, 0000001534>
<user_credentials_server_7, card_check_server_5, 46, Request, 0000001188>
<ui_server_19, purchase_book_server_1, 46, Request, 0000001147>
<user_credentials_server_1, card_check_server_10, 46, Request, 0000001644>
<purchase_book_server_9, discount_server_4, 46, Request, 0000001423>
<bundle_offer_server_2, user_credentials_server_8, 46, Request, 0000001179>
<bundle_offer_server_2, user_credentials_server_6, 47, Request, 0000001713>
<book_availability_server_4, bundle_offer_server_2, 47, Request, 0000001959>
<book_availability_server_1, bundle_offer_server_2, 47, Request, 0000001837>
<discount_server_2, book_availability_server_1, 47, Request, 0000001626>
<purchase_book_server_5, book_availability_server_2, 47, Request, 0000001062>
<user, ui_server_11, 47, Request, 0000001412>
<ui_server_11, purchase_book_server_5, 48, Request, 0000001049>
<discount_server_1, book_availability_server_8, 48, Request, 0000001406>
<card_check_server_7, visa_server_4, 48, Request, 0000001657>
<card_check_server_4, visa_server_3, 48, Request, 0000001458>
<user, ui_server_18, 48, Request, 0000001046>
<american_express_server_1, limit_check_american_express_server_6, 48, Request, 0000001369>
<user_credentials_server_6, card_check_server_10, 49, Request, 0000001713>
<purchase_book_server_3, book_availability_server_4, 49, Request, 0000001226>
<user, ui_server_6, 49, Request, 0000001834>
<external_inventory_server_2, bundle_offer_server_1, 49, Request, 0000001853>
<book_availability_server_7, user_credentials_server_5, 49, Request, 0000001327>
<bundle_offer_server_1, user_credentials_server_1, 50, Request, 0000001899>
<card_check_server_8, visa_server_5, 50, Request, 0000001962>
<discount_server_2, gift_wrap_server_1, 50, Request, 0000001574>
<purchase_book_server_1, book_availability_server_2, 50, Request, 0000001147>
<purchase_book_server_7, gift_wrap_server_1, 50, Request, 0000001155>
<card_check_server_9, american_express_server_5, 50, Request, 0000001186>
<ui_server_11, purchase_book_server_6, 51, Request, 0000001309>
<bundle_offer_server_2, user_credentials_server_7, 51, Request, 0000001959>
<discount_server_2, book_availability_server_7, 51, Request, 0000001769>
<ui_server_6, purchase_book_server_4, 51, Request, 0000001834>
<discount_server_2, gift_wrap_server_1, 51, Request, 0000001534>
<user_credentials_server_5, card_check_server_5, 51, Request, 0000001327>
<gift_wrap_server_1, book_availability_server_3, 51, Request, 0000001574>
<purchase_book_server_10, discount_server_2, 51, Request, 0000001571>
<card_check_server_9, american_express_server_2, 52, Request, 0000001163>
<ui_server_11, purchase_book_server_5, 52, Request, 0000001412>
<user_credentials_server_8, user_history_server_4, 52, Request, 0000001179>
<bundle_offer_server_2, user_credentials_server_6, 52, Request, 0000001641>
<user, ui_server_17, 52, Request, 0000001383>
<book_availability_server_1, bundle_offer_server_2, 52, Request, 0000001680>
<user_credentials_server_1, card_check_server_9, 52, Request, 0000001899>
<gift_wrap_server_1, book_availability_server_4, 52, Request, 0000001534>
<visa_server_2, currency_conversion_server_2, 52, Request, 0000001086>
<ui_server_12, purchase_book_server_4, 52, Request, 0000001251>
<bundle_offer_server_2, user_credentials_server_6, 53, Request, 0000001837>
<gift_wrap_server_1, book_availability_server_2, 53, Request, 0000001155>
<currency_conversion_server_2, shipping_options_server_1, 53, Request, 0000001086>
<book_availability_server_7, bundle_offer_server_1, 53, Request, 0000001051>
<ui_server_17, purchase_book_server_3, 53, Request, 0000001311>
<purchase_book_server_2, book_availability_server_8, 53, Request, 0000001291>
<user, ui_server_14, 53, Request, 0000001812>
<book_availability_server_3, bundle_offer_server_1, 54, Request, 0000001060>
<user, ui_server_10, 54, Request, 0000001384>
<user, ui_server_6, 54, Request, 0000001635>
<user_credentials_server_7, user_history_server_4, 54, Request, 0000001959>
<user, ui_server_13, 54, Request, 0000001584>
<user_credentials_server_6, card_check_server_6, 55, Request, 0000001837>
<purchase_book_server_5, discount_server_4, 55, Request, 0000001049>
<ui_server_18, purchase_book_server_3, 55, Request, 0000001046>
<card_check_server_5, visa_server_5, 55, Request, 0000001188>
<discount_server_2, gift_wrap_server_1, 55, Request, 0000001571>
<discount_server_4, book_availability_server_7, 55, Request, 0000001423>
<user, ui_server_7, 55, Request, 0000001623>
<purchase_book_server_6, book_availability_server_8, 56, Request, 0000001309>
<card_check_server_10, american_express_server_2, 56, Request, 0000001644>
<gift_wrap_server_1, book_availability_server_3, 56, Request, 0000001571>
<purchase_book_server_10, book_availability_server_6, 56, Request, 0000001080>
<user_credentials_server_6, card_check_server_2, 56, Request, 0000001641>
<book_availability_server_1, user_credentials_server_6, 56, Request, 0000001665>
<book_availability_server_8, bundle_offer_server_1, 56, Request, 0000001872>
<user, ui_server_1, 57, Request, 0000001936>
<shipping_options_server_1, express_delivery_server_1, 57, Request, 0000001086>
<user, ui_server_9, 57, Request, 0000001798>
<bundle_offer_server_1, user_credentials_server_7, 57, Request, 0000001853>
<card_check_server_10, american_express_server_5, 57, Request, 0000001713>
<ui_server_10, purchase_book_server_8, 57, Request, 0000001384>
<card_check_server_8, visa_server_5, 58, Request, 0000001386>
<bundle_offer_server_2, user_credentials_server_3, 58, Request, 0000001680>
<ui_server_14, purchase_book_server_6, 58, Request, 0000001812>
<card_check_server_9, american_express_server_3, 58, Request, 0000001899>
<ui_server_17, purchase_book_server_10, 58, Request, 0000001383>
<purchase_book_server_3, book_availability_server_4, 58, Request, 0000001311>
<ui_server_7, purchase_book_server_7, 59, Request, 0000001623>
<user_credentials_server_3, card_check_server_6, 59, Request, 0000001680>
<ui_server_6, purchase_book_server_8, 59, Request, 0000001635>
<user_credentials_server_6, card_check_server_8, 59, Request, 0000001665>
<book_availability_server_6, bundle_offer_server_2, 59, Request, 0000001133>
<book_availability_server_8, bundle_offer_server_1, 59, Request, 0000001406>
<book_availability_server_1, user_credentials_server_5, 59, Request, 0000001626>
<purchase_book_server_4, gift_wrap_server_1, 59, Request, 0000001834>
<card_check_server_5, american_express_server_4, 59, Request, 0000001327>
<user_history_server_4, card_check_server_3, 59, Request, 0000001179>
<ui_server_13, purchase_book_server_10, 59, Request, 0000001584>
<bundle_offer_server_1, user_credentials_server_5, 60, Request, 0000001872>
<american_express_server_2, limit_check_american_express_server_9, 60, Request, 0000001163>
<book_availability_server_2, bundle_offer_server_2, 60, Request, 0000001147>
<american_express_server_5, limit_check_american_express_server_19, 60, Request, 0000001186>
<user_history_server_4, card_check_server_2, 60, Request, 0000001959>
<book_availability_server_8, bundle_offer_server_1, 60, Request, 0000001636>
<user_credentials_server_7, card_check_server_2, 60, Request, 0000001853>
<card_check_server_6, visa_server_2, 60, Request, 0000001837>
<ui_server_1, purchase_book_server_2, 60, Request, 0000001936>
<book_availability_server_2, bundle_offer_server_2, 61, Request, 0000001832>
<bundle_offer_server_1, user_credentials_server_4, 61, Request, 0000001051>
<user, ui_server_20, 61, Request, 0000001671>
<american_express_server_2, limit_check_american_express_server_10, 61, Request, 0000001644>
<purchase_book_server_4, book_availability_server_7, 61, Request, 0000001251>
<purchase_book_server_3, book_availability_server_8, 61, Request, 0000001046>
<purchase_book_server_5, discount_server_4, 61, Request, 0000001412>
<user, ui_server_10, 61, Request, 0000001307>
<bundle_offer_server_1, user_credentials_server_1, 62, Request, 0000001060>
<book_availability_server_4, bundle_offer_server_2, 62, Request, 0000001318>
<user, ui_server_11, 62, Request, 0000001241>
<book_availability_server_7, bundle_offer_server_1, 62, Request, 0000001769>
<gift_wrap_server_1, book_availability_server_1, 62, Request, 0000001834>
<ui_server_9, purchase_book_server_8, 63, Request, 0000001798>
<book_availability_server_2, bundle_offer_server_2, 63, Request, 0000001155>
<user_credentials_server_5, card_check_server_2, 63, Request, 0000001872>
<american_express_server_5, limit_check_american_express_server_16, 63, Request, 0000001713>
<user, ui_server_8, 63, Request, 0000001518>
<card_check_server_2, visa_server_4, 64, Request, 0000001641>
<purchase_book_server_10, book_availability_server_2, 64, Request, 0000001383>
<bundle_offer_server_2, user_credentials_server_1, 64, Request, 0000001133>
<bundle_offer_server_1, user_credentials_server_1, 64, Request, 0000001406>
<express_delivery_server_1, inventory_update_server_10, 64, Request, 0000001086>
<american_express_server_4, fraud_check_american_express_server_5, 64, Request, 0000001327>
<bundle_offer_server_1, user_credentials_server_4, 64, Request, 0000001636>
<book_availability_server_4, user_credentials_server_7, 64, Request, 0000001534>
<user, ui_server_12, 64, Request, 0000001464>
<card_check_server_6, visa_server_4, 64, Request, 0000001680>
<discount_server_4, book_availability_server_4, 64, Request, 0000001049>
<user_credentials_server_5, card_check_server_7, 64, Request, 0000001626>
<ui_server_10, purchase_book_server_3, 64, Request, 0000001307>
<visa_server_3, limit_check_visa_server_6, 64, Request, 0000001458>
<book_availability_server_8, external_inventory_server_2, 64, Request, 0000001193>
<user_credentials_server_1, card_check_server_6, 65, Request, 0000001133>
<purchase_book_server_2, book_availability_server_2, 65, Request, 0000001936>
<user_credentials_server_1, card_check_server_3, 65, Request, 0000001060>
<bundle_offer_server_2, user_credentials_server_4, 65, Request, 0000001832>
<user, ui_server_11, 65, Request, 0000001437>
<user_credentials_server_4, user_history_server_4, 65, Request, 0000001051>
<book_availability_server_2, user_credentials_server_3, 65, Request, 0000001062>
<user, ui_server_10, 65, Request, 0000001146>
<purchase_book_server_6, book_availability_server_1, 65, Request, 0000001812>
<visa_server_4, fraud_check_visa_server_5, 65, Request, 0000001657>
<visa_server_5, limit_check_visa_server_3, 65, Request, 0000001962>
<book_availability_server_8, bundle_offer_server_2, 65, Request, 0000001938>
<card_check_server_3, american_express_server_5, 65, Request, 0000001179>
<bundle_offer_server_2, user_credentials_server_8, 66, Request, 0000001147>
<purchase_book_server_7, discount_server_3, 66, Request, 0000001623>
<purchase_book_server_8, book_availability_server_8, 66, Request, 0000001384>
<bundle_offer_server_2, user_credentials_server_8, 66, Request, 0000001318>
<user_credentials_server_3, card_check_server_5, 66, Request, 0000001062>
<book_availability_server_8, bundle_offer_server_2, 66, Request, 0000001951>
<american_express_server_3, limit_check_american_express_server_10, 66, Request, 0000001899>
<book_availability_server_3, user_credentials_server_4, 67, Request, 0000001574>
<user, ui_server_2, 67, Request, 0000001526>
<user_credentials_server_1, user_history_server_4, 67, Request, 0000001406>
<book_availability_server_4, user_credentials_server_3, 67, Request, 0000001226>
<ui_server_11, purchase_book_server_4, 67, Request, 0000001241>
<user_credentials_server_3, card_check_server_9, 68, Request, 0000001226>
<purchase_book_server_3, book_availability_server_1, 68, Request, 0000001307>
<card_check_server_2, visa_server_4, 68, Request, 0000001853>
<user_credentials_server_4, user_history_server_2, 68, Request, 0000001832>
<card_check_server_2, american_express_server_1, 68, Request, 0000001959>
<user_credentials_server_7, card_check_server_4, 68, Request, 0000001534>
<ui_server_11, purchase_book_server_7, 68, Request, 0000001437>
<user_credentials_server_4, card_check_server_4, 68, Request, 0000001636>
<book_availability_server_6, user_credentials_server_8, 69, Request, 0000001080>
<user, ui_server_7, 69, Request, 0000001126>
<discount_server_4, book_availability_server_7, 69, Request, 0000001412>
<purchase_book_server_10, discount_server_4, 69, Request, 0000001584>
<purchase_book_server_8, book_availability_server_4, 69, Request, 0000001635>
<bundle_offer_server_2, user_credentials_server_6, 69, Request, 0000001938>
<limit_check_american_express_server_6, fraud_check_american_express_server_3, 69, Request, 0000001369>
<external_inventory_server_2, second_hand_market_server_1, 70, Request, 0000001193>
<bundle_offer_server_2, user_credentials_server_7, 70, Request, 0000001155>
<book_availability_server_8, bundle_offer_server_1, 70, Request, 0000001309>
<book_availability_server_8, bundle_offer_server_1, 70, Request, 0000001291>
<ui_server_8, purchase_book_server_2, 70, Request, 0000001518>
<bundle_offer_server_1, user_credentials_server_5, 70, Request, 0000001769>
<card_check_server_6, visa_server_4, 70, Request, 0000001133>
<user, ui_server_7, 70, Request, 0000001157>
<ui_server_2, purchase_book_server_7, 70, Request, 0000001526>
<card_check_server_7, american_express_server_1, 71, Request, 0000001626>
<user, ui_server_11, 71, Request, 0000001921>
<user_credentials_server_8, user_history_server_3, 71, Request, 0000001147>
<user_credentials_server_8, card_check_server_1, 71, Request, 0000001318>
<user, ui_server_14, 71, Request, 0000001012>
<visa_server_5, limit_check_visa_server_8, 71, Request, 0000001188>
<card_check_server_2, visa_server_2, 71, Request, 0000001872>
<card_check_server_8, visa_server_4, 71, Request, 0000001665>
<card_check_server_3, visa_server_3, 71, Request, 0000001060>
<ui_server_7, purchase_book_server_3, 71, Request, 0000001126>
<ui_server_12, purchase_book_server_3, 71, Request, 0000001464>
<user, ui_server_6, 71, Request, 0000001730>
<user_credentials_server_4, card_check_server_8, 71, Request, 0000001574>
<discount_server_3, book_availability_server_3, 72, Request, 0000001623>
<ui_server_10, purchase_book_server_6, 72, Request, 0000001146>
<user_history_server_4, card_check_server_7, 72, Request, 0000001406>
<american_express_server_5, fraud_check_american_express_server_11, 72, Request, 0000001179>
<fraud_check_american_express_server_5, currency_conversion_server_1, 72, Request, 0000001327>
<visa_server_5, limit_check_visa_server_1, 72, Request, 0000001386>
<ui_server_20, purchase_book_server_8, 72, Request, 0000001671>
<book_availability_server_7, external_inventory_server_1, 72, Request, 0000001423>
<ui_server_6, purchase_book_server_10, 73, Request, 0000001730>
<bundle_offer_server_2, user_credentials_server_2, 73, Request, 0000001951>
<purchase_book_server_8, book_availability_server_2, 73, Request, 0000001798>
<user_history_server_2, card_check_server_9, 73, Request, 0000001832>
<currency_conversion_server_1, shipping_options_server_1, 73, Request, 0000001327>
<ui_server_7, purchase_book_server_5, 73, Request, 0000001157>
<card_check_server_5, visa_server_1, 73, Request, 0000001062>
<user_history_server_4, card_check_server_8, 73, Request, 0000001051>
<user_credentials_server_6, card_check_server_4, 73, Request, 0000001938>
<user_credentials_server_5, user_history_server_1, 73, Request, 0000001769>
<user_credentials_server_7, user_history_server_4, 73, Request, 0000001155>
<bundle_offer_server_1, user_credentials_server_1, 74, Request, 0000001309>
<user, ui_server_2, 74, Request, 0000001765>
<visa_server_2, limit_check_visa_server_8, 74, Request, 0000001837>
<book_availability_server_1, bundle_offer_server_1, 74, Request, 0000001812>
<purchase_book_server_7, book_availability_server_6, 74, Request, 0000001437>
<user, ui_server_3, 74, Request, 0000001964>
<book_availability_server_3, bundle_offer_server_1, 74, Request, 0000001571>
<book_availability_server_8, bundle_offer_server_1, 74, Request, 0000001046>
<fraud_check_american_express_server_3, currency_conversion_server_3, 75, Request, 0000001369>
<user_credentials_server_2, card_check_server_7, 75, Request, 0000001951>
<american_express_server_1, fraud_check_american_express_server_5, 75, Request, 0000001959>
<book_availability_server_1, user_credentials_server_2, 75, Request, 0000001834>
<user, ui_server_16, 75, Request, 0000001171>
<purchase_book_server_4, book_availability_server_4, 75, Request, 0000001241>
<user_credentials_server_8, card_check_server_5, 75, Request, 0000001080>
<book_availability_server_4, external_inventory_server_2, 75, Request, 0000001311>
<user_credentials_server_1, card_check_server_1, 75, Request, 0000001309>
<user_history_server_3, card_check_server_8, 75, Request, 0000001147>
<card_check_server_4, visa_server_5, 76, Request, 0000001636>
<ui_server_14, purchase_book_server_2, 76, Request, 0000001012>
<book_availability_server_4, external_inventory_server_1, 76, Request, 0000001049>
<visa_server_4, limit_check_visa_server_11, 76, Request, 0000001680>
<user, ui_server_7, 76, Request, 0000001736>
<book_availability_server_7, bundle_offer_server_2, 76, Request, 0000001251>
<user, ui_server_2, 77, Request, 0000001602>
<discount_server_4, gift_wrap_server_1, 77, Request, 0000001584>
<book_availability_server_8, user_credentials_server_2, 77, Request, 0000001384>
<ui_server_2, purchase_book_server_2, 77, Request, 0000001765>
<purchase_book_server_3, book_availability_server_3, 77, Request, 0000001464>
<fraud_check_visa_server_5, currency_conversion_server_3, 77, Request, 0000001657>
<american_express_server_1, limit_check_american_express_server_6, 77, Request, 0000001626>
<user, ui_server_19, 77, Request, 0000001441>
<bundle_offer_server_1, user_credentials_server_7, 77, Request, 0000001291>
<card_check_server_4, american_express_server_3, 77, Request, 0000001534>
<ui_server_11, purchase_book_server_8, 77, Request, 0000001921>
<ui_server_3, purchase_book_server_7, 77, Request, 0000001964>
<external_inventory_server_1, bundle_offer_server_2, 78, Request, 0000001423>
<gift_wrap_server_1, book_availability_server_1, 78, Request, 0000001584>
<user_credentials_server_2, user_history_server_1, 78, Request, 0000001834>
<bundle_offer_server_1, user_credentials_server_3, 78, Request, 0000001571>
<bundle_offer_server_1, user_credentials_server_3, 78, Request, 0000001046>
<purchase_book_server_2, book_availability_server_2, 78, Request, 0000001518>
<currency_conversion_server_3, shipping_options_server_2, 78, Request, 0000001657>
<user_history_server_1, card_check_server_6, 78, Request, 0000001769>
<currency_conversion_server_3, shipping_options_server_2, 78, Request, 0000001369>
<user, ui_server_14, 78, Request, 0000001580>
<purchase_book_server_8, gift_wrap_server_1, 78, Request, 0000001671>
<purchase_book_server_6, book_availability_server_2, 78, Request, 0000001146>
<user, ui_server_4, 78, Request, 0000001452>
<card_check_server_1, american_express_server_5, 78, Request, 0000001318>
<card_check_server_9, visa_server_5, 78, Request, 0000001226>
<card_check_server_8, visa_server_4, 79, Request, 0000001574>
<user_credentials_server_2, user_history_server_1, 79, Request, 0000001384>
<purchase_book_server_7, book_availability_server_3, 79, Request, 0000001526>
<purchase_book_server_3, book_availability_server_6, 79, Request, 0000001126>
<card_check_server_1, visa_server_5, 79, Request, 0000001309>
<card_check_server_4, visa_server_4, 79, Request, 0000001938>
<user, ui_server_11, 79, Request, 0000001063>
<book_availability_server_2, external_inventory_server_2, 79, Request, 0000001383>
<bundle_offer_server_1, user_credentials_server_1, 79, Request, 0000001812>
<user, ui_server_2, 80, Request, 0000001721>
<fraud_check_american_express_server_11, currency_conversion_server_3, 80, Request, 0000001179>
<book_availability_server_2, user_credentials_server_8, 80, Request, 0000001936>
